customerID,probability,prediction,risk_bucket,risk_level,model_name,created_at
1,0.6744763266794223,1,medium,1,logistic_regression,2025-11-18 14:25:44
2,0.1498382473507285,0,low,0,logistic_regression,2025-11-18 14:25:44
3,0.8135906327705894,1,high,2,logistic_regression,2025-11-18 14:25:44
4,0.861057153704945,1,high,2,logistic_regression,2025-11-18 14:25:44
5,0.022432617601732176,0,low,0,logistic_regression,2025-11-18 14:25:44
6,0.99454077020951,1,high,2,logistic_regression,2025-11-18 14:25:44
7,0.15044668203654243,0,low,0,logistic_regression,2025-11-18 14:25:44
8,0.9580818775451045,1,high,2,logistic_regression,2025-11-18 14:25:44
9,0.3822089057800896,0,low,0,logistic_regression,2025-11-18 14:25:44
10,0.15240876892615798,0,low,0,logistic_regression,2025-11-18 14:25:44
11,0.999997363588903,1,high,2,logistic_regression,2025-11-18 14:25:44
12,0.9582472663485477,1,high,2,logistic_regression,2025-11-18 14:25:44
13,0.9381853173320287,1,high,2,logistic_regression,2025-11-18 14:25:44
14,0.9856008323585497,1,high,2,logistic_regression,2025-11-18 14:25:44
15,0.7693285569014605,1,high,2,logistic_regression,2025-11-18 14:25:44
16,0.11606424875969429,0,low,0,logistic_regression,2025-11-18 14:25:44
17,0.9956298446955798,1,high,2,logistic_regression,2025-11-18 14:25:44
18,0.5399441374111548,1,medium,1,logistic_regression,2025-11-18 14:25:44
19,0.9995421968120134,1,high,2,logistic_regression,2025-11-18 14:25:44
20,0.8324875870722376,1,high,2,logistic_regression,2025-11-18 14:25:44
21,0.9689431062972245,1,high,2,logistic_regression,2025-11-18 14:25:44
22,0.6820407861904043,1,medium,1,logistic_regression,2025-11-18 14:25:44
23,0.9843590520616102,1,high,2,logistic_regression,2025-11-18 14:25:44
24,0.07662627641873876,0,low,0,logistic_regression,2025-11-18 14:25:44
25,0.014818607865261934,0,low,0,logistic_regression,2025-11-18 14:25:44
26,0.8620475542756334,1,high,2,logistic_regression,2025-11-18 14:25:44
27,0.9933118659749479,1,high,2,logistic_regression,2025-11-18 14:25:44
28,0.08642510178240609,0,low,0,logistic_regression,2025-11-18 14:25:44
29,0.9985114749011657,1,high,2,logistic_regression,2025-11-18 14:25:44
30,0.9962958636035664,1,high,2,logistic_regression,2025-11-18 14:25:44
31,0.4879968223363856,0,low,0,logistic_regression,2025-11-18 14:25:44
32,0.9842908013459543,1,high,2,logistic_regression,2025-11-18 14:25:44
33,0.06009231776567604,0,low,0,logistic_regression,2025-11-18 14:25:44
34,0.552615756807407,1,medium,1,logistic_regression,2025-11-18 14:25:44
35,0.36184465939380817,0,low,0,logistic_regression,2025-11-18 14:25:44
36,0.989199746179595,1,high,2,logistic_regression,2025-11-18 14:25:44
37,0.23599441164458468,0,low,0,logistic_regression,2025-11-18 14:25:44
38,0.013018120158863392,0,low,0,logistic_regression,2025-11-18 14:25:44
39,0.06570389995795516,0,low,0,logistic_regression,2025-11-18 14:25:44
40,0.9950594513566808,1,high,2,logistic_regression,2025-11-18 14:25:44
41,0.9997610938901194,1,high,2,logistic_regression,2025-11-18 14:25:44
42,0.7546802387780577,1,high,2,logistic_regression,2025-11-18 14:25:44
43,0.03055291699352346,0,low,0,logistic_regression,2025-11-18 14:25:44
44,0.4551550018557274,0,low,0,logistic_regression,2025-11-18 14:25:44
45,0.19151112149577765,0,low,0,logistic_regression,2025-11-18 14:25:44
46,0.808932825821194,1,high,2,logistic_regression,2025-11-18 14:25:44
47,0.8565150251940904,1,high,2,logistic_regression,2025-11-18 14:25:44
48,0.035487894584996356,0,low,0,logistic_regression,2025-11-18 14:25:44
49,0.9666949090512084,1,high,2,logistic_regression,2025-11-18 14:25:44
50,0.06501051969812402,0,low,0,logistic_regression,2025-11-18 14:25:44
51,0.02173489140267982,0,low,0,logistic_regression,2025-11-18 14:25:44
52,0.021808832142158067,0,low,0,logistic_regression,2025-11-18 14:25:44
53,0.9985759879210899,1,high,2,logistic_regression,2025-11-18 14:25:44
54,0.9879911471165733,1,high,2,logistic_regression,2025-11-18 14:25:44
55,0.10233676450523901,0,low,0,logistic_regression,2025-11-18 14:25:44
56,0.018205248786378286,0,low,0,logistic_regression,2025-11-18 14:25:44
57,0.1547089997206037,0,low,0,logistic_regression,2025-11-18 14:25:44
58,0.23066821703400828,0,low,0,logistic_regression,2025-11-18 14:25:44
59,0.9694182969023527,1,high,2,logistic_regression,2025-11-18 14:25:44
60,0.982261268120769,1,high,2,logistic_regression,2025-11-18 14:25:44
61,0.012697978450148839,0,low,0,logistic_regression,2025-11-18 14:25:44
62,0.041624160736059415,0,low,0,logistic_regression,2025-11-18 14:25:44
63,0.9843351534691508,1,high,2,logistic_regression,2025-11-18 14:25:44
64,0.6736868772640056,1,medium,1,logistic_regression,2025-11-18 14:25:44
65,0.24632836080893397,0,low,0,logistic_regression,2025-11-18 14:25:44
66,0.02670511321557154,0,low,0,logistic_regression,2025-11-18 14:25:44
